Q 1 11 25 44 55 66 77
1.0151 6.2323 6.9535 8.0051 8.6923 8.8587 9.1356 6.1823
1.0251 6.3241 7.0500 8.1003 8.7865 8.9526 9.2296 6.2840
1.0352 6.4223 7.1526 8.1998 8.8851 9.0511 9.3284 6.3913
1.0452 6.5268 7.2610 8.3036 8.9879 9.1540 9.4317 6.5040
1.0553 6.6391 7.3767 8.4128 9.0959 9.2626 9.5410 6.6236
1.0653 6.7599 7.5002 8.5280 9.2096 9.3774 9.6568 6.7508
1.0754 6.8878 7.6302 8.6480 9.3280 9.4973 9.7778 6.8843
1.0854 7.0226 7.7666 8.7729 9.4509 9.6221 9.9039 7.0239
1.0955 7.1640 7.9091 8.9024 9.5783 9.7516 10.0348 7.1694
1.1055 7.3169 8.0616 9.0402 9.7135 9.8889 10.1735 7.3258
1.1156 7.4817 8.2243 9.1866 9.8567 10.0343 10.3201 7.4933
1.1256 7.6541 8.3939 9.3386 10.0050 10.1849 10.4721 7.6679
1.1357 7.8340 8.5702 9.4958 10.1584 10.3406 10.6291 7.8494
1.1457 8.0210 8.7527 9.6582 10.3164 10.5012 10.7910 8.0374
1.1558 8.2234 8.9492 9.8319 10.4841 10.6716 10.9630 8.2404
1.1658 8.4403 9.1585 10.0161 10.6606 10.8510 11.1444 8.4574
1.1759 8.6651 9.3749 10.2062 10.8422 11.0357 11.3310 8.6820
1.1859 8.8974 9.5980 10.4018 11.0288 11.2254 11.5225 8.9138
1.1960 9.1367 9.8275 10.6026 11.2199 11.4196 11.7187 9.1522
1.2060 9.3997 10.0750 10.8194 11.4259 11.6272 11.9285 9.4141
1.2161 9.6823 10.3376 11.0495 11.6444 11.8460 12.1497 9.6955
1.2261 9.9733 10.6071 11.2856 11.8683 12.0699 12.3760 9.9849
1.2362 10.2719 10.8830 11.5272 12.0971 12.2985 12.6071 10.2820
1.2462 10.5776 11.1648 11.7740 12.3304 12.5313 12.8424 10.5861
1.2563 10.9131 11.4747 12.0420 12.5836 12.7830 13.0940 10.9199
1.2663 11.2706 11.8053 12.3259 12.8514 13.0487 13.3578 11.2758
1.2764 11.6362 12.1428 12.6156 13.1245 13.3192 13.6261 11.6397
1.2864 12.0090 12.4866 12.9105 13.4024 13.5941 13.8985 12.0109
1.2965 12.3882 12.8359 13.2101 13.6844 13.8729 14.1745 12.3887
1.3065 12.8119 13.2239 13.5435 13.9961 14.1776 14.4773 12.8111
1.3166 13.2646 13.6371 13.8990 14.3272 14.4993 14.7975 13.2626
1.3266 13.7251 14.0569 14.2603 14.6634 14.8254 15.1220 13.7221
1.3367 14.1924 14.4827 14.6267 15.0041 15.1555 15.4504 14.1886
1.3467 14.6656 14.9134 14.9975 15.3486 15.4888 15.7819 14.6611
1.3568 15.1929 15.3922 15.4084 15.7277 15.8571 16.1465 15.1881
1.3668 15.7513 15.8985 15.8423 16.1264 16.2451 16.5299 15.7463
1.3769 16.3164 16.4106 16.2813 16.5295 16.6371 16.9171 16.3114
1.3869 16.8870 16.9275 16.7243 16.9362 17.0325 17.3075 16.8822
1.3970 17.4620 17.4482 17.1706 17.3456 17.4303 17.7002 17.4576
1.4070 18.1036 18.0294 17.6717 17.8029 17.8720 18.1328 18.0997
1.4171 18.7781 18.6403 18.1998 18.2838 18.3352 18.5849 18.7748
1.4271 19.4574 19.2556 18.7318 18.7679 18.8015 19.0399 19.4549
1.4372 20.1402 19.8740 19.2666 19.2545 19.2700 19.4969 20.1384
1.4472 20.8249 20.4943 19.8030 19.7425 19.7399 19.9551 20.8239
1.4573 21.5803 21.1783 20.4012 20.2836 20.2606 20.4650 21.5800
1.4673 22.3650 21.8887 21.0251 20.8469 20.8024 20.9965 22.3652
1.4774 23.1511 22.6007 21.6506 21.4116 21.3459 21.5297 23.1516
1.4874 23.9369 23.3126 22.2763 21.9765 21.8898 22.0635 23.9374
1.4975 24.7208 24.0231 22.9009 22.5404 22.4332 22.5971 24.7208
1.5075 25.5667 24.7940 23.5896 23.1676 23.0340 23.1880 25.5667
1.5176 26.4331 25.5850 24.2995 23.8159 23.6540 23.7982 26.4331
1.5276 27.2994 26.3760 25.0095 24.4642 24.2739 24.4085 27.2994
1.5377 28.1658 27.1670 25.7194 25.1125 24.8939 25.0187 28.1658
1.5477 29.0321 27.9580 26.4294 25.7608 25.5139 25.6289 29.0321
1.5578 29.9421 28.7988 27.1868 26.4583 26.1845 26.2888 29.9421
1.5678 30.8648 29.6542 27.9580 27.1701 26.8696 26.9631 30.8648
1.5779 31.7874 30.5096 28.7293 27.8820 27.5548 27.6374 31.7874
1.5879 32.7101 31.3649 29.5005 28.5938 28.2400 28.3117 32.7101
1.5980 33.6327 32.2203 30.2717 29.3056 28.9252 28.9860 33.6327
1.6080 34.5702 33.0963 31.0770 30.0567 29.6499 29.6944 34.5702
1.6181 35.5114 33.9775 31.8908 30.8176 30.3844 30.4113 35.5114
1.6281 36.4527 34.8587 32.7046 31.5784 31.1189 31.1283 36.4527
1.6382 37.3939 35.7399 33.5184 32.3393 31.8535 31.8453 37.3939
1.6482 38.3351 36.6210 34.3322 33.1002 32.5880 32.5622 38.3351
1.6583 39.2578 37.4967 35.1532 33.8728 33.3378 33.2994 39.2578
1.6683 40.1767 38.3712 35.9758 34.6480 34.0909 34.0409 40.1767
1.6784 41.0955 39.2458 36.7983 35.4231 34.8440 34.7823 41.0955
1.6884 42.0143 40.1203 37.6208 36.1983 35.5971 35.5238 42.0143
1.6985 42.9331 40.9948 38.4434 36.9734 36.3501 36.2653 42.9331
1.7085 43.7981 41.8282 39.2486 37.7424 37.1013 37.0065 43.7981
1.7186 44.6536 42.6543 40.0507 38.5104 37.8522 37.7476 44.6536
1.7286 45.5091 43.4805 40.8529 39.2783 38.6031 38.4888 45.5091
1.7387 46.3646 44.3066 41.6551 40.0462 39.3539 39.2300 46.3646
1.7487 47.2202 45.1328 42.4572 40.8142 40.1048 39.9711 47.2202
1.7588 47.9881 45.8859 43.2055 41.5422 40.8219 40.6882 47.9881
1.7688 48.7435 46.6286 43.9461 42.2646 41.5342 41.4019 48.7435
1.7789 49.4989 47.3713 44.6867 42.9870 42.2465 42.1155 49.4989
1.7889 50.2543 48.1140 45.4273 43.7093 42.9588 42.8292 50.2543
1.7990 51.0097 48.8566 46.1679 44.4317 43.6710 43.5428 51.0097
1.8090 51.6496 49.4985 46.8318 45.0903 44.3293 44.2071 51.6496
1.8191 52.2766 50.1291 47.4871 45.7417 44.9816 44.8660 52.2766
1.8291 52.9036 50.7597 48.1424 46.3932 45.6339 45.5248 52.9036
1.8392 53.5306 51.3903 48.7977 47.0446 46.2862 46.1836 53.5306
1.8492 54.1576 52.0209 49.4531 47.6961 46.9385 46.8425 54.1576
1.8593 54.6437 52.5295 50.0031 48.2590 47.5081 47.4268 54.6437
1.8693 55.1182 53.0282 50.5447 48.8147 48.0709 48.0052 55.1182
1.8794 55.5928 53.5269 51.0862 49.3704 48.6337 48.5835 55.5928
1.8894 56.0674 54.0256 51.6277 49.9261 49.1965 49.1619 56.0674
1.8995 56.5420 54.5243 52.1692 50.4819 49.7593 49.7402 56.5420
1.9095 56.8536 54.8765 52.5895 50.9297 50.2245 50.2225 56.8536
1.9196 57.1565 55.2210 53.0033 51.3718 50.6845 50.6998 57.1565
1.9296 57.4595 55.5656 53.4171 51.8140 51.1446 51.1770 57.4595
1.9397 57.7625 55.9101 53.8310 52.2561 51.6046 51.6543 57.7625
1.9497 58.0655 56.2546 54.2448 52.6983 52.0647 52.1315 58.0655
1.9598 58.1935 56.4384 54.5155 53.0126 52.4062 52.4931 58.1935
1.9698 58.3169 56.6180 54.7826 53.3236 52.7447 52.8517 58.3169
1.9799 58.4404 56.7977 55.0496 53.6346 53.0833 53.2103 58.4404
1.9899 58.5639 56.9773 55.3167 53.9455 53.4218 53.5689 58.5639
2.0000 58.6874 57.1570 55.5837 54.2565 53.7603 53.9275 58.6874
2.0101 58.6447 57.1769 55.7043 54.4373 53.9712 54.1648 58.6447
2.0201 58.6019 57.1969 55.8249 54.6180 54.1820 54.4020 58.6019
2.0302 58.5592 57.2168 55.9456 54.7988 54.3929 54.6392 58.5592
2.0402 58.5164 57.2368 56.0662 54.9795 54.6038 54.8764 58.5164
2.0503 58.4698 57.2529 56.1834 55.1569 54.8115 55.1105 58.4698
2.0603 58.2693 57.1197 56.1654 55.2040 54.8944 55.2230 58.2693
2.0704 58.0689 56.9864 56.1475 55.2510 54.9772 55.3354 58.0689
2.0804 57.8685 56.8531 56.1295 55.2981 55.0601 55.4479 57.8685
2.0905 57.6681 56.7199 56.1116 55.3451 55.1429 55.5604 57.6681
2.1005 57.4613 56.5804 56.0874 55.3861 55.2197 55.6670 57.4613
2.1106 57.1341 56.3223 55.9454 55.3128 55.1816 55.6612 57.1341
2.1206 56.8068 56.0642 55.8035 55.2395 55.1434 55.6553 56.8068
2.1307 56.4795 55.8062 55.6615 55.1662 55.1052 55.6495 56.4795
2.1407 56.1523 55.5481 55.5196 55.0929 55.0671 55.6437 56.1523
2.1508 55.8175 55.2822 55.3691 55.0113 55.0206 55.6296 55.8175
2.1608 55.3894 54.9201 55.1135 54.8277 54.8723 55.5137 55.3894
2.1709 54.9614 54.5581 54.8579 54.6440 54.7239 55.3977 54.9614
2.1809 54.5333 54.1960 54.6023 54.4603 54.5755 55.2817 54.5333
2.1910 54.1053 53.8339 54.3466 54.2767 54.4272 55.1658 54.1053
2.2010 53.6722 53.4651 54.0831 54.0846 54.2700 55.0409 53.6722
2.2111 53.1937 53.0357 53.7478 53.8169 54.0337 54.8357 53.1937
2.2211 52.7153 52.6063 53.4125 53.5491 53.7974 54.6304 52.7153
2.2312 52.2369 52.1769 53.0772 53.2814 53.5611 54.4252 52.2369
2.2412 51.7584 51.7476 52.7419 53.0136 53.3248 54.2200 51.7584
2.2513 51.2779 51.3155 52.4001 52.7385 53.0805 54.0063 51.2779
2.2613 50.7829 50.8645 52.0130 52.4120 52.7803 53.7330 50.7829
2.2714 50.2879 50.4136 51.6259 52.0855 52.4801 53.4598 50.2879
2.2814 49.7929 49.9627 51.2388 51.7590 52.1799 53.1866 49.7929
2.2915 49.2980 49.5117 50.8517 51.4324 51.8797 52.9133 49.2980
2.3015 48.8081 49.0627 50.4635 51.1016 51.5749 52.6339 48.8081
2.3116 48.3470 48.6246 50.0686 50.7462 51.2435 52.3190 48.3470
